,Neighborhood,Population,Ethnic Origin #1,Percentage #1,Ethnic Origin #2,Percentage #2,Ethnic Origin #3,Percentage #3,Ethnic Origin #4,Percentage #4,Ethnic Origin #5,Percentage #5,Ethnic Origin #6,Percentage #6
0,Etobicoke-Lakeshore,127520,English,17.1,Canadian,15.9,Irish,14.4,Scottish,13.5,Polish,9.2,Italian,9.1
1,Etobicoke North,116960,East Indian,22.2,Canadian,7.9,0,0.0,0,0.0,0,0.0,0,0.0
2,Etobicoke Centre,116055,Italian,15.1,English,14.3,Canadian,12.1,Irish,10.8,Scottish,10.4,Ukrainian,8.1
3,York South-Weston,115130,Portuguese,14.5,Italian,12.8,Canadian,8.7,Jamaican,8.4,0,0.0,0,0.0
