Neighborhood,Population,Ethnic Origin #1,Percentage #1,Ethnic Origin #2,Percentage #2,Ethnic Origin #3,Percentage #3,Ethnic Origin #4,Percentage #4,Ethnic Origin #5,Percentage #5,Ethnic Origin #6,Percentage #6
Etobicoke-Lakeshore,127520.0,English,17.1,Canadian,15.9,Irish,14.4,Scottish,13.5,Polish,9.2,Italian,9.1
Etobicoke North,116960.0,East Indian,22.2,Jamaican,6.2,Canadian,5.7,Iraqi,4.8,Italian,3.9,Filipino,3.2
Etobicoke Centre,116055.0,Italian,15.1,English,14.3,Canadian,12.1,Irish,10.8,Scottish,10.4,Ukrainian,8.1
